fdc_id,food_name,protein,fat,carbohydrates,calories,food_category,serving_size
320209,"MILK, 2% (WAVE 22E)",,,,,Dairy and Egg Products,
320212,"MILK, 2% ",,,,,Dairy and Egg Products,
320213,"MILK, 2% ",,,,,Dairy and Egg Products,
320214,"MILK, 2% ",,1.68,,,Dairy and Egg Products,
320215,"MILK, 2% ",,,,,Dairy and Egg Products,
320216,"MILK, 2% ",,,,,Dairy and Egg Products,
320217,"MILK, 2% ",,,,,Dairy and Egg Products,
320218,"MILK, 2% ",,,,,Dairy and Egg Products,
320219,"MILK, 2% ",,,,,Dairy and Egg Products,
320220,"MILK, 2% ",,,,,Dairy and Egg Products,
320221,"MILK, 2% ",,,,,Dairy and Egg Products,
320222,"Milk, 2%",,,,,Dairy and Egg Products,
320223,"Milk, 2%",,,,,Dairy and Egg Products,
320224,"Milk, 2%",,,,,Dairy and Egg Products,
320225,"Milk, 2%",,,,,Dairy and Egg Products,
320226,"Milk, 2%",,,,,Dairy and Egg Products,
320227,"Milk, 2%",,,,,Dairy and Egg Products,
320228,"MILK, 2% (WAVE 22E)",,,,,Dairy and Egg Products,
320229,"MILK, 2% (WAVE 22E)",,,,,Dairy and Egg Products,
320232,"MILK, 2% ",,,,,Dairy and Egg Products,
320233,"MILK, 2% ",,,,,Dairy and Egg Products,
320234,"MILK, 2% ",,1.87,,,Dairy and Egg Products,
320235,"MILK, 2% ",,,,,Dairy and Egg Products,
320236,"MILK, 2% ",,,,,Dairy and Egg Products,
320237,"MILK, 2% ",,,,,Dairy and Egg Products,
320238,"MILK, 2% ",,,,,Dairy and Egg Products,
320239,"MILK, 2% ",,,,,Dairy and Egg Products,
320240,"MILK, 2% ",,,,,Dairy and Egg Products,
320241,"MILK, 2% ",,,,,Dairy and Egg Products,
320242,"MILK, 2% ",,,,,Dairy and Egg Products,
320243,"MILK, 2% ",,,,,Dairy and Egg Products,
320244,"MILK, 2% ",,,,,Dairy and Egg Products,
320245,"Milk, 2%",,,,,Dairy and Egg Products,
320246,"Milk, 2%",,,,,Dairy and Egg Products,
320247,"Milk, 2%",,,,,Dairy and Egg Products,
320248,"Milk, 2%",,,,,Dairy and Egg Products,
320249,"Milk, 2%",,,,,Dairy and Egg Products,
320250,"Milk, 2%",,,,,Dairy and Egg Products,
320251,"MILK, 2% (WAVE 22E)",,,,,Dairy and Egg Products,
320252,"MILK, 2% (WAVE 22E)",,,,,Dairy and Egg Products,
320255,"MILK, 2% ",,,,,Dairy and Egg Products,
320256,"MILK, 2% ",,,,,Dairy and Egg Products,
320257,"MILK, 2% ",,1.81,,,Dairy and Egg Products,
320258,"MILK, 2% ",,,,,Dairy and Egg Products,
320259,"MILK, 2% ",,,,,Dairy and Egg Products,
320260,"MILK, 2% ",,,,,Dairy and Egg Products,
320261,"MILK, 2% ",,,,,Dairy and Egg Products,
320262,"MILK, 2% ",,,,,Dairy and Egg Products,
320263,"MILK, 2% ",,,,,Dairy and Egg Products,
320264,"MILK, 2% ",,,,,Dairy and Egg Products,
320265,"MILK, 2% ",,,,,Dairy and Egg Products,
320266,"MILK, 2% ",,,,,Dairy and Egg Products,
320267,"MILK, 2% ",,,,,Dairy and Egg Products,
320268,"Milk, 2%",,,,,Dairy and Egg Products,
320269,"Milk, 2%",,,,,Dairy and Egg Products,
320270,"Milk, 2%",,,,,Dairy and Egg Products,
320271,"Milk, 2%",,,,,Dairy and Egg Products,
320272,"Milk, 2%",,,,,Dairy and Egg Products,
320273,"MILK, 2% (WAVE 22E)",,,,,Dairy and Egg Products,
